,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62
0,247,123,0,67,66,0,0,39,33,21,26,0,0,0,0,21,8,0,18,0,12,18,27,0,0,0,0,0,0,0,0,9,0,10,8,0,0,14,6,0,0,0,7,0,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,238,123,0,70,55,0,0,27,24,16,28,0,0,0,0,15,12,0,19,0,20,11,21,0,0,0,0,0,0,0,0,10,0,3,2,0,0,15,12,0,0,0,4,0,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,277,105,0,79,73,0,0,45,25,22,37,0,0,0,0,15,11,0,24,0,20,9,18,0,0,0,0,0,0,0,0,9,0,1,5,0,0,15,7,0,0,0,5,0,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,256,101,0,60,67,0,0,51,23,17,29,0,0,0,0,13,10,0,20,0,16,16,19,0,0,0,0,0,0,0,0,10,0,2,4,0,0,19,11,0,0,0,8,0,5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,246,110,0,79,72,0,0,40,29,13,34,0,0,0,0,17,7,0,19,0,16,15,20,0,0,0,0,0,0,0,0,15,0,6,5,0,0,20,7,0,0,0,5,0,4,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,220,121,0,76,61,0,0,44,21,17,27,0,0,0,0,18,7,0,19,0,24,15,23,0,0,0,0,0,0,0,0,9,0,5,2,0,0,15,9,0,0,0,5,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,232,120,0,58,80,0,0,33,29,18,31,0,0,0,0,23,11,0,17,0,11,16,15,0,0,0,0,0,0,0,0,8,0,4,6,0,0,14,5,0,0,0,11,0,7,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,218,103,0,65,64,0,0,31,21,17,19,0,0,0,0,16,4,0,17,0,13,11,29,0,0,0,0,0,0,0,0,15,0,8,9,0,0,11,11,0,0,0,8,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,211,115,0,78,68,0,0,35,25,25,23,0,0,0,0,19,7,0,20,0,15,17,18,0,0,0,0,0,0,0,0,6,0,6,4,0,0,13,13,0,0,0,7,0,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,271,122,0,61,83,0,0,42,19,13,25,0,0,0,0,18,5,0,29,0,19,11,23,0,0,0,0,0,0,0,0,16,0,4,5,0,0,13,5,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,238,138,0,71,81,0,0,28,17,22,32,0,0,0,0,23,5,0,23,0,11,10,19,0,0,0,0,0,0,0,0,8,0,2,9,0,0,15,6,0,0,0,4,0,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,228,121,0,80,84,0,0,39,20,17,26,0,0,0,0,17,7,0,15,0,10,15,25,0,0,0,0,0,0,0,0,10,0,3,3,0,0,11,8,0,0,0,5,0,6,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,227,128,0,73,75,0,0,41,24,17,24,0,0,0,0,18,3,0,19,0,13,15,21,0,0,0,0,0,0,0,0,15,0,7,4,0,0,16,5,0,0,0,7,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,216,116,0,60,69,0,0,36,26,19,31,0,0,0,0,19,5,0,18,0,13,13,18,0,0,0,0,0,0,0,0,16,0,3,7,0,0,18,6,0,0,0,5,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,240,119,0,75,68,0,0,39,19,14,26,0,0,0,0,16,7,0,23,0,21,12,25,0,0,0,0,0,0,0,0,11,0,2,1,0,0,15,4,0,0,0,8,0,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,215,96,0,53,78,0,0,45,25,15,30,0,0,0,0,16,6,0,21,0,20,11,26,0,0,0,0,0,0,0,0,12,0,4,6,0,0,17,6,0,0,0,9,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,228,121,0,69,70,0,0,47,19,16,24,0,0,0,0,14,9,0,15,0,24,8,26,0,0,0,0,0,0,0,0,11,0,5,4,0,0,14,10,0,0,0,9,0,1,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,219,132,0,57,89,0,0,35,25,19,34,0,0,0,0,17,3,0,23,0,18,9,23,0,0,0,0,0,0,0,0,8,0,6,4,0,0,22,6,0,0,0,8,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,246,117,0,81,96,0,0,41,18,28,30,0,0,0,0,18,7,0,25,0,18,8,15,0,0,0,0,0,0,0,0,11,0,7,3,0,0,19,6,0,0,0,9,0,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,260,119,0,85,72,0,0,33,26,27,35,0,0,0,0,13,7,0,12,0,19,22,22,0,0,0,0,0,0,0,0,6,0,5,7,0,0,11,3,0,0,0,8,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,229,114,0,60,66,0,0,42,22,16,32,0,0,0,0,16,8,0,27,0,18,17,18,0,0,0,0,0,0,0,0,9,0,5,6,0,0,11,8,0,0,0,3,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,257,107,0,67,67,0,0,28,19,24,30,0,0,0,0,15,14,0,25,0,16,10,24,0,0,0,0,0,0,0,0,11,0,4,6,0,0,13,7,0,0,0,8,0,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,238,133,0,66,53,0,0,46,23,25,31,0,0,0,0,26,5,0,18,0,22,18,16,0,0,0,0,0,0,0,0,7,0,2,3,0,0,17,7,0,0,0,7,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,278,114,0,69,56,0,0,32,23,26,35,0,0,0,0,9,5,0,18,0,18,14,18,0,0,0,0,0,0,0,0,9,0,5,3,0,0,11,5,0,0,0,10,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
