,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62
0,210,0,107,0,0,51,44,0,0,0,0,34,32,24,33,0,0,0,0,0,0,0,0,15,20,21,0,22,22,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,8,12,5,9,0,0,12,1,2,12,16,14,7,3
1,215,0,98,0,0,56,52,0,0,0,0,40,39,24,29,0,0,0,0,0,0,0,0,30,15,9,0,16,20,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,9,5,13,0,0,12,6,2,6,17,11,8,7
2,266,0,98,0,0,78,72,0,0,0,0,34,29,25,31,0,0,0,0,0,0,0,0,13,19,14,0,18,14,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,10,13,4,9,0,0,9,7,6,6,13,12,10,10
3,257,0,121,0,0,62,69,0,0,0,0,30,18,27,23,0,0,0,0,0,0,0,0,11,19,13,0,13,29,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,9,12,6,7,0,0,7,4,2,9,14,12,8,9
4,243,0,122,0,0,67,59,0,0,0,0,39,33,31,33,0,0,0,0,0,0,0,0,13,16,12,0,16,18,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,5,8,6,0,0,10,5,6,12,9,11,7,7
5,241,0,112,0,0,62,50,0,0,0,0,21,35,32,17,0,0,0,0,0,0,0,0,12,16,14,0,19,25,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,10,7,14,0,0,8,3,6,8,14,12,5,4
6,230,0,107,0,0,68,47,0,0,0,0,33,27,27,33,0,0,0,0,0,0,0,0,14,14,11,0,12,26,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,10,6,7,0,0,13,1,4,9,8,11,8,10
7,207,0,109,0,0,73,57,0,0,0,0,35,30,28,28,0,0,0,0,0,0,0,0,21,18,3,0,19,13,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,11,10,6,5,0,0,15,5,7,11,21,8,7,11
8,244,0,116,0,0,61,54,0,0,0,0,31,26,24,33,0,0,0,0,0,0,0,0,20,17,13,0,15,19,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,9,5,8,0,0,14,6,6,4,19,8,4,7
9,261,0,128,0,0,74,39,0,0,0,0,32,26,29,30,0,0,0,0,0,0,0,0,12,19,13,0,18,25,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,10,5,4,9,0,0,9,2,3,7,12,10,9,10
10,251,0,116,0,0,54,63,0,0,0,0,34,22,18,31,0,0,0,0,0,0,0,0,11,10,13,0,18,29,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,5,8,5,10,0,0,10,9,2,7,7,19,16,3
