,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254
0,249,163,135,107,131,94,104,61,63,68,63,53,62,45,64,36,56,49,41,28,25,38,48,42,21,45,31,31,44,42,20,26,22,33,17,21,10,20,10,15,16,29,14,18,22,27,31,18,26,27,14,22,0,21,16,0,37,22,17,21,22,14,18,15,20,11,14,15,16,15,15,11,8,17,17,13,20,19,16,14,8,8,12,14,15,15,11,19,29,16,27,17,17,7,14,0,16,4,11,8,22,14,17,0,6,0,0,14,8,9,14,0,0,6,6,12,7,12,17,18,5,9,6,13,11,16,21,6,3,7,6,8,8,7,7,8,8,8,10,7,8,6,12,8,7,6,10,10,3,6,9,7,3,7,11,13,10,9,2,9,11,16,10,7,12,3,11,5,15,6,9,9,18,12,9,3,8,11,12,7,2,10,9,2,3,12,8,10,6,10,5,0,0,12,19,7,12,14,8,5,10,3,11,0,7,13,11,0,0,6,12,0,0,0,0,6,7,3,3,8,12,9,8,0,0,0,0,8,4,2,12,10,5,8,2,5,8,5,11,5,8,12,7,10,9,12,14,7,11,19,8,11,5,8,10
1,235,175,128,93,75,106,100,68,56,47,58,56,60,46,46,21,49,42,31,36,38,35,35,52,26,37,33,38,47,46,21,27,21,23,26,17,5,15,15,19,21,21,14,17,26,33,21,15,24,34,19,19,0,25,20,0,38,21,16,22,17,17,16,17,25,13,7,6,10,16,12,16,9,11,12,14,19,13,16,9,17,9,15,8,10,20,5,22,18,14,15,13,21,10,9,0,11,3,10,12,17,10,13,0,13,0,0,18,13,7,9,0,0,17,9,13,9,17,17,15,5,6,15,8,14,23,12,5,10,7,5,4,3,5,12,15,6,7,4,10,6,6,5,14,7,7,8,9,7,2,10,8,7,10,7,6,7,8,2,4,8,15,11,8,9,2,1,10,11,4,8,7,22,9,5,9,7,12,11,9,3,4,10,1,6,10,3,12,10,9,8,0,0,10,6,6,8,13,8,7,12,7,9,0,16,6,12,0,0,7,6,0,0,0,0,6,12,12,2,5,14,12,7,0,0,0,0,10,8,3,13,13,6,3,7,7,2,6,4,4,5,11,4,10,19,7,13,6,15,11,10,10,4,10,6
2,264,171,130,88,101,88,114,61,65,39,54,43,69,55,55,30,51,58,41,36,38,33,35,55,17,42,42,40,49,51,11,28,19,28,24,16,10,23,22,26,11,25,9,26,18,21,22,24,23,36,22,24,0,17,18,0,35,19,18,24,17,12,19,11,25,18,11,15,12,8,11,14,12,8,20,11,13,22,15,16,17,15,11,12,12,16,18,14,24,16,12,17,18,14,17,0,16,10,12,10,17,13,16,0,13,0,0,18,17,14,12,0,0,5,5,14,8,11,17,13,2,7,13,15,8,20,12,9,10,8,3,10,8,5,9,10,10,9,9,12,7,8,13,12,6,14,7,7,7,9,9,10,3,11,21,10,7,7,2,5,8,14,13,12,5,4,5,7,9,3,4,10,19,6,10,6,5,7,19,7,6,6,10,5,2,15,6,10,19,11,6,0,0,7,15,17,11,9,11,8,3,4,6,0,10,11,10,0,0,7,2,0,0,0,0,13,5,11,3,8,11,8,12,0,0,0,0,6,9,5,19,12,3,5,3,8,5,10,13,5,6,9,8,11,12,13,4,13,12,8,13,10,5,8,13
3,257,174,123,77,109,100,115,53,75,43,55,53,63,57,70,38,60,44,36,30,34,32,37,49,22,41,37,47,37,35,18,20,18,32,26,12,16,21,18,19,17,33,13,19,18,33,36,21,35,33,17,26,0,12,22,0,29,17,19,19,18,17,26,10,17,14,13,11,18,9,18,11,6,9,17,12,18,15,20,12,15,16,16,8,14,13,11,11,21,14,6,12,16,12,12,0,18,7,9,12,29,12,17,0,9,0,0,11,14,15,10,0,0,10,8,9,9,17,15,19,6,7,12,16,14,19,18,5,8,4,11,11,3,6,9,14,9,10,7,7,4,6,8,6,5,9,9,8,8,3,9,8,6,4,14,7,8,5,2,5,5,8,15,14,8,2,9,3,10,7,10,11,16,6,7,6,10,16,11,9,4,5,10,7,1,12,2,8,13,7,5,0,0,7,11,7,11,11,13,15,8,4,12,0,15,13,9,0,0,4,6,0,0,0,0,8,7,5,2,10,4,6,10,0,0,0,0,9,6,4,10,6,3,8,5,8,9,8,6,10,12,4,8,4,16,12,7,8,17,9,10,10,3,17,10
4,259,149,165,90,106,88,118,62,67,68,55,49,60,46,53,30,60,51,39,31,36,27,33,45,33,43,40,28,38,51,22,26,20,36,20,14,9,20,12,18,14,23,20,18,20,20,30,19,24,28,25,23,0,10,17,0,27,32,20,25,17,21,12,15,20,20,14,5,20,6,12,15,8,12,18,7,13,12,14,16,14,11,12,16,14,7,11,10,22,13,25,16,20,15,14,0,17,5,11,11,13,15,14,0,10,0,0,12,19,10,22,0,0,10,16,20,9,21,16,26,6,4,6,16,14,19,14,5,11,3,7,4,1,9,3,12,10,6,5,7,4,4,8,12,7,5,4,13,5,6,7,3,6,6,14,10,10,3,4,6,4,17,18,7,13,5,7,6,14,4,9,7,12,10,8,9,6,9,6,7,3,3,15,6,3,12,3,10,11,13,13,0,0,11,9,8,9,7,11,5,7,5,11,0,8,6,14,0,0,6,7,0,0,0,0,7,12,10,0,4,11,6,11,0,0,0,0,10,3,3,13,5,12,9,6,7,6,6,1,7,11,5,5,7,17,14,7,7,14,10,10,7,3,7,14
5,280,158,170,95,95,112,123,66,68,47,52,58,72,38,49,35,45,46,38,30,27,22,34,48,18,36,35,36,49,49,27,28,24,26,18,17,12,15,21,13,23,20,13,23,22,28,15,21,26,25,19,27,0,14,15,0,29,38,17,26,23,14,21,13,23,14,8,8,11,11,16,17,15,5,11,12,22,14,9,12,10,11,12,10,16,15,9,19,23,18,17,22,22,8,14,0,18,6,15,13,17,13,16,0,5,0,0,9,23,7,12,0,0,17,16,8,8,21,10,14,2,4,11,9,10,17,16,5,14,7,6,7,1,6,11,11,9,10,9,7,8,6,15,9,5,5,4,10,8,7,10,3,0,9,11,8,8,10,4,8,11,17,8,8,13,3,9,5,12,8,8,16,19,9,7,6,10,13,12,7,5,3,13,8,4,19,2,9,10,7,4,0,0,8,13,8,13,14,11,3,5,5,10,0,13,12,17,0,0,5,5,0,0,0,0,8,11,10,2,3,15,10,11,0,0,0,0,12,4,4,22,12,3,3,2,5,6,5,7,8,10,15,7,11,11,9,11,8,14,11,6,11,5,9,4
6,237,153,135,87,110,107,116,69,64,62,66,55,65,46,69,30,50,46,39,30,32,31,38,40,27,41,41,43,41,50,24,29,22,28,21,19,15,15,25,20,19,22,16,23,18,13,21,24,24,30,17,25,0,14,11,0,31,34,18,23,13,23,18,14,17,18,15,9,11,7,9,11,18,9,15,15,18,17,17,10,15,19,18,7,20,10,14,16,12,24,16,16,19,7,11,0,12,4,10,14,21,11,10,0,10,0,0,11,14,12,4,0,0,16,14,19,7,12,17,15,5,8,7,13,13,15,12,6,6,3,4,12,5,7,8,11,11,9,9,6,8,8,5,9,10,3,6,12,4,10,16,9,6,10,11,11,7,8,1,8,5,18,10,15,8,1,6,6,13,12,5,11,18,10,10,8,7,11,7,10,10,2,7,6,2,17,4,11,13,14,4,0,0,13,7,6,15,10,9,6,6,1,9,0,14,5,11,0,0,12,8,0,0,0,0,8,9,6,6,6,10,13,6,0,0,0,0,5,7,4,12,16,6,6,1,11,2,4,10,4,6,9,6,8,19,8,6,0,8,19,11,13,2,9,12
7,261,173,136,88,118,82,102,63,57,54,59,39,59,62,56,31,59,38,38,34,26,34,37,35,20,48,19,43,37,43,21,22,24,38,27,29,10,10,20,27,10,22,14,28,21,32,22,20,37,23,20,17,0,17,21,0,36,28,15,22,26,16,20,17,24,27,12,9,11,6,11,11,13,11,13,7,9,12,9,9,15,11,12,19,18,16,6,18,18,20,16,18,17,11,16,0,12,5,9,9,26,12,8,0,7,0,0,11,15,8,9,0,0,14,8,13,8,18,7,11,6,7,13,11,7,14,14,5,12,2,6,14,2,8,10,18,7,7,7,15,9,9,6,6,6,5,8,7,5,6,8,8,6,13,7,8,9,8,2,4,10,8,8,11,8,2,6,2,10,8,9,11,18,8,10,7,5,10,13,8,7,4,8,8,4,17,2,9,11,4,8,0,0,5,13,6,13,5,11,9,6,5,15,0,11,7,10,0,0,6,7,0,0,0,0,7,10,8,4,5,11,6,13,0,0,0,0,11,10,1,12,13,2,11,4,8,6,6,7,7,5,7,5,6,14,11,8,8,14,10,11,10,1,11,16
8,242,165,144,108,89,96,110,47,56,43,53,56,59,43,53,31,59,42,37,22,34,41,25,46,20,32,23,40,36,44,17,26,22,28,12,13,15,19,19,24,14,23,10,23,21,35,25,19,27,29,17,17,0,23,23,0,37,26,20,36,17,20,20,17,15,24,9,6,14,4,20,11,11,5,8,10,13,24,10,17,15,8,12,9,17,12,7,22,25,13,15,13,13,5,20,0,15,3,12,15,22,7,15,0,6,0,0,19,18,11,13,0,0,5,11,16,8,19,16,15,8,6,8,11,9,14,20,4,8,3,4,12,4,11,14,14,8,9,8,11,11,6,5,10,7,3,4,2,7,4,15,7,5,6,13,10,8,6,1,6,7,12,20,8,7,2,10,7,9,8,10,4,17,11,4,3,9,9,15,5,4,5,10,4,8,12,1,11,7,5,6,0,0,6,12,6,9,12,6,4,5,4,7,0,18,15,13,0,0,5,9,0,0,0,0,5,14,9,2,5,16,10,9,0,0,0,0,11,2,3,11,9,7,7,3,7,4,12,4,6,8,11,7,12,11,6,6,7,14,19,8,3,3,9,9
9,276,161,147,96,104,108,123,61,62,48,53,54,61,56,65,35,51,52,34,27,32,25,22,42,23,41,42,43,28,52,15,25,26,34,20,28,10,21,12,20,18,32,23,22,17,29,26,21,31,14,20,20,0,24,20,0,26,29,20,20,13,26,17,20,22,18,8,13,8,8,17,8,13,12,17,10,10,25,16,7,14,17,12,7,12,11,7,27,24,14,15,14,21,18,12,0,17,11,16,8,29,11,13,0,11,0,0,13,10,12,10,0,0,9,10,9,12,6,15,10,6,7,9,16,11,18,16,9,12,5,5,8,3,16,9,9,5,13,11,9,8,5,8,5,7,2,6,8,5,4,14,7,9,9,13,6,6,11,3,10,5,22,14,5,12,1,5,6,12,8,9,12,17,3,8,11,10,10,8,4,2,4,8,6,3,18,4,11,7,11,5,0,0,13,14,4,9,15,12,5,2,6,8,0,13,10,14,0,0,7,9,0,0,0,0,11,8,7,5,4,7,11,12,0,0,0,0,11,4,5,16,10,5,4,5,5,5,4,10,6,10,11,9,11,20,11,9,9,12,15,6,11,7,14,12
