,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254
0,224,160,141,94,94,87,114,64,69,50,51,55,62,59,45,29,36,49,43,27,34,34,29,46,24,37,25,35,34,41,25,22,24,30,27,33,11,19,6,22,17,21,22,26,26,26,29,27,25,30,18,30,0,18,27,24,0,23,20,25,18,8,19,14,19,22,10,14,9,8,17,8,16,14,17,11,12,22,13,11,13,8,9,11,13,12,13,11,22,15,16,14,18,9,16,20,0,5,11,13,24,11,11,12,0,0,0,13,9,6,12,10,9,0,0,20,7,18,15,18,4,5,9,7,12,18,10,7,11,2,5,6,2,5,6,5,9,3,9,10,9,7,9,10,7,6,3,8,8,6,12,5,2,14,11,4,12,9,2,4,7,20,9,5,8,3,8,6,11,8,7,7,21,6,9,6,3,8,10,5,7,4,12,5,7,17,5,8,15,14,8,11,13,0,0,5,11,8,8,8,9,0,8,0,17,12,6,8,6,0,0,0,0,0,0,9,10,6,4,11,8,14,10,7,7,6,10,0,0,0,0,14,5,6,3,3,5,6,5,7,11,6,3,7,22,11,8,4,15,14,5,6,9,12,17
1,253,177,145,97,98,105,104,45,54,70,59,59,64,50,65,30,54,43,34,25,39,28,37,38,25,42,48,36,34,46,19,20,22,37,22,22,11,26,15,22,7,37,14,27,16,18,25,28,31,26,23,28,0,17,16,18,0,24,22,16,17,19,15,22,18,18,13,5,16,12,12,14,10,9,19,13,23,17,9,17,10,15,16,9,14,14,11,13,16,13,18,17,16,7,14,19,0,8,14,17,13,10,4,13,0,0,0,12,12,11,9,7,11,0,0,19,8,16,21,11,5,8,5,13,11,16,15,2,12,8,4,8,6,9,7,8,9,15,5,11,5,4,8,4,11,5,6,6,6,6,11,12,4,13,14,7,13,13,5,5,4,16,10,7,7,3,7,3,12,7,10,8,17,9,5,5,16,14,12,7,8,9,10,6,2,10,4,10,5,12,9,9,8,0,0,4,9,7,9,6,7,5,11,0,10,10,15,1,8,0,0,0,0,0,0,6,10,7,6,3,18,11,9,8,15,6,5,0,0,0,0,8,4,8,4,14,6,7,7,7,14,7,6,9,18,14,10,6,16,8,4,9,4,10,6
2,219,168,137,94,105,95,104,53,74,56,58,49,66,60,46,29,47,50,38,23,39,30,35,50,19,42,30,51,41,50,23,22,23,28,25,26,12,28,20,17,21,16,16,20,25,24,21,24,21,30,21,27,0,9,16,28,0,25,24,21,21,14,26,12,14,17,12,10,11,13,16,15,12,12,9,10,17,22,21,15,8,9,11,10,16,10,7,12,29,15,19,14,14,14,20,11,0,10,9,18,19,14,10,9,0,0,0,9,7,6,17,16,18,0,0,13,7,21,13,21,5,9,7,18,10,11,13,2,6,1,5,6,5,5,7,15,6,7,11,7,8,7,6,5,11,2,2,7,1,6,13,14,3,9,11,7,7,9,9,7,4,14,15,15,11,3,14,4,15,8,8,6,21,16,7,9,8,13,5,5,5,7,13,2,0,21,4,9,8,4,9,8,10,0,0,4,13,15,13,12,14,3,13,0,15,14,12,5,7,0,0,0,0,0,0,6,4,10,4,7,12,6,17,8,7,4,9,0,0,0,0,9,2,6,4,8,7,10,3,5,11,5,4,2,14,12,7,10,17,15,8,15,9,10,11
3,245,178,138,89,97,89,125,61,74,50,68,51,65,42,50,30,49,31,20,23,27,41,29,54,20,48,35,35,41,49,15,20,20,36,19,27,11,17,12,22,16,23,12,20,16,16,28,20,23,28,19,21,0,22,17,17,0,25,23,25,19,15,23,11,14,25,12,10,13,10,8,14,11,12,24,14,21,18,19,11,13,13,9,16,11,14,13,21,20,24,22,14,24,14,14,18,0,9,13,9,20,13,7,11,0,0,0,7,18,8,13,13,7,0,0,6,8,18,21,15,5,1,9,16,13,18,21,8,12,10,6,10,5,3,6,4,13,8,10,12,5,4,5,5,5,4,6,7,4,8,9,5,2,10,8,7,11,10,6,2,5,17,8,6,7,1,3,6,6,3,4,9,17,6,6,3,10,13,15,4,8,4,10,10,5,23,6,5,11,8,8,8,18,0,0,14,4,14,10,7,9,1,10,0,18,13,10,9,9,0,0,0,0,0,0,14,6,7,1,8,13,8,10,6,6,5,14,0,0,0,0,5,3,6,2,9,2,3,9,4,5,4,7,9,20,7,6,9,11,6,5,12,5,18,9
4,215,166,134,85,102,98,114,62,54,46,53,55,69,43,58,45,55,40,44,28,28,25,34,33,21,36,37,40,45,46,29,25,25,32,15,23,9,24,13,25,12,15,12,17,23,36,30,20,31,30,23,32,0,18,19,9,0,34,30,34,15,23,16,13,23,16,14,5,5,8,9,15,9,9,21,15,15,23,11,7,11,18,9,10,10,10,12,14,35,13,12,16,24,11,17,6,0,2,22,12,20,9,18,10,0,0,0,11,19,9,18,11,7,0,0,9,9,16,13,16,4,3,11,15,13,12,20,4,12,4,5,11,4,6,5,11,8,13,7,4,6,4,10,6,10,9,2,8,4,11,9,5,2,9,10,5,7,5,6,7,7,7,12,7,9,5,5,6,11,5,11,9,23,5,8,6,11,13,4,6,7,5,19,4,4,16,7,6,13,9,9,9,11,0,0,9,10,9,10,6,6,5,8,0,17,10,11,7,6,0,0,0,0,0,0,8,7,7,4,7,14,8,12,10,4,11,12,0,0,0,0,12,1,8,0,7,7,3,6,2,10,8,7,7,10,13,5,3,18,12,7,6,4,9,5
5,268,191,145,94,104,87,93,76,62,55,47,51,57,61,71,34,53,45,42,25,25,26,38,38,23,55,44,33,41,39,21,26,23,37,14,29,11,15,12,21,19,27,21,17,20,23,21,21,40,28,20,20,0,12,19,13,0,35,26,26,20,14,15,20,17,16,12,6,17,7,22,9,9,12,12,11,12,22,11,13,9,10,19,8,9,6,9,14,19,14,8,14,28,12,16,16,0,4,12,8,23,8,17,14,0,0,0,11,9,8,8,9,15,0,0,12,11,14,13,12,5,2,10,8,10,14,10,6,6,3,3,6,5,8,4,14,5,8,11,16,5,9,8,11,8,6,5,7,10,3,12,6,6,8,23,13,10,10,2,6,7,14,5,13,9,1,8,12,14,6,7,9,15,9,7,12,4,13,8,9,6,4,8,5,3,18,5,13,10,8,4,10,15,0,0,5,10,13,11,3,5,1,10,0,8,15,10,7,7,0,0,0,0,0,0,7,16,4,6,14,11,15,10,3,14,9,11,0,0,0,0,12,5,7,1,13,4,6,6,5,6,9,3,5,10,10,9,5,18,11,12,8,5,4,9
6,237,164,155,84,109,100,119,58,72,58,62,47,63,47,45,29,57,45,34,27,38,27,22,53,21,46,33,45,45,42,20,27,21,21,17,16,12,21,17,25,17,23,11,24,16,26,23,24,28,39,20,21,0,24,14,24,0,23,20,23,19,20,12,21,22,18,19,7,14,14,16,10,12,7,18,11,10,24,15,10,18,11,22,11,14,17,6,18,19,17,15,13,27,16,9,13,0,6,11,14,17,6,16,13,0,0,0,13,11,10,11,12,8,0,0,18,5,17,20,16,2,7,13,11,11,23,21,3,8,3,7,11,4,5,7,9,10,11,7,8,8,7,9,5,3,8,4,9,8,7,7,10,4,7,11,9,7,12,4,10,5,15,7,5,9,7,13,6,5,9,9,7,19,14,7,3,10,16,6,12,5,6,10,2,6,18,2,14,6,15,6,8,9,0,0,8,10,9,8,6,12,6,9,0,10,6,11,9,8,0,0,0,0,0,0,10,13,12,2,8,10,9,9,8,5,2,16,0,0,0,0,13,5,7,4,3,8,9,7,6,12,13,7,6,13,13,11,10,13,15,8,8,4,9,8
7,228,155,117,97,112,102,96,45,68,63,63,46,71,49,51,41,49,41,39,28,34,32,41,55,26,39,37,29,28,50,22,19,22,31,23,17,14,29,14,30,19,18,19,28,28,19,26,22,32,31,17,22,0,19,15,8,0,26,14,28,21,14,21,17,17,21,9,10,16,8,9,15,8,11,11,13,23,18,10,7,16,18,14,11,18,13,9,11,26,9,18,15,14,15,19,11,0,6,11,9,18,10,6,8,0,0,0,15,14,12,11,7,15,0,0,15,6,20,16,10,6,3,12,8,12,20,10,3,9,3,4,12,1,7,1,9,10,7,7,8,8,5,6,9,7,6,7,11,6,10,11,7,2,16,10,15,9,9,3,6,5,16,11,7,15,6,12,6,8,9,4,4,12,10,11,9,8,11,11,5,6,3,9,9,2,17,1,13,16,7,11,6,8,0,0,11,8,9,9,6,8,4,12,0,15,7,12,7,13,0,0,0,0,0,0,5,10,9,5,17,6,6,14,4,10,5,4,0,0,0,0,3,4,4,3,5,8,6,7,8,6,11,4,6,17,8,11,5,16,14,8,11,7,9,11
8,247,179,145,86,88,113,113,54,71,60,61,50,63,29,51,24,47,35,33,18,32,40,29,36,27,33,32,29,50,58,20,25,16,31,18,20,12,15,14,29,20,19,12,24,23,23,25,26,29,28,18,30,0,18,16,13,0,29,16,15,16,20,10,14,21,20,11,8,13,13,18,9,8,5,17,13,11,27,19,8,11,11,14,15,13,11,7,17,25,20,23,9,25,11,10,22,0,6,7,15,18,10,6,7,0,0,0,10,14,11,17,9,10,0,0,9,6,17,19,18,4,6,13,13,14,15,17,4,11,5,8,12,1,6,5,12,5,7,3,13,6,8,8,8,4,8,7,12,5,8,13,6,4,11,17,5,7,9,7,2,9,20,10,4,14,4,8,4,11,8,13,10,23,9,6,5,10,11,11,7,5,12,6,5,5,15,4,12,11,14,4,7,8,0,0,8,12,6,16,4,7,3,12,0,6,10,12,4,4,0,0,0,0,0,0,8,11,8,2,7,8,6,10,4,13,12,11,0,0,0,0,12,4,6,3,3,2,6,6,6,9,7,8,8,13,2,10,9,19,15,5,12,2,5,9
9,233,155,133,84,95,95,114,64,65,54,56,53,60,41,49,31,58,42,32,32,31,48,42,48,27,35,39,38,28,48,19,34,22,31,18,23,12,22,15,25,14,25,21,28,23,26,26,20,30,22,20,17,0,11,15,18,0,26,17,31,19,21,26,23,17,18,13,12,17,10,17,13,13,11,14,14,12,25,14,16,15,14,10,12,16,16,8,17,23,19,7,16,20,14,14,15,0,5,16,10,22,20,12,5,0,0,0,16,16,8,11,12,12,0,0,11,6,14,15,19,2,5,12,11,10,16,12,3,9,2,1,17,2,7,13,9,5,9,9,11,10,6,5,5,8,3,5,10,3,11,8,7,2,6,14,11,12,9,6,10,5,18,15,8,20,5,12,7,13,9,10,7,14,7,5,4,5,21,14,9,12,7,8,3,3,14,4,6,11,9,7,7,7,0,0,6,6,6,10,5,5,5,3,0,16,7,12,7,4,0,0,0,0,0,0,8,8,10,1,7,11,6,17,5,9,5,11,0,0,0,0,7,3,3,3,6,4,7,2,11,14,5,6,9,19,12,9,11,15,20,7,8,8,5,7
