,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254
0,248,142,148,78,107,83,104,50,68,73,57,53,64,65,49,26,61,39,39,35,30,33,40,24,27,28,40,46,33,38,19,31,18,27,19,24,8,17,14,23,16,24,15,12,21,29,22,23,40,28,15,0,25,20,24,16,0,25,22,29,19,20,18,14,26,30,14,6,10,12,10,13,15,11,16,10,13,24,12,10,11,20,14,13,15,14,11,14,14,14,18,15,27,8,14,12,0,3,18,14,24,11,10,0,0,32,24,16,10,12,12,7,14,0,0,11,9,14,15,10,3,7,4,12,10,12,17,6,8,5,4,19,5,11,8,11,7,5,10,13,5,5,13,6,8,5,7,4,2,4,6,9,5,14,22,8,4,10,4,11,8,10,10,9,10,3,12,2,8,6,6,7,16,5,8,6,9,8,15,5,4,2,11,5,6,15,8,6,11,9,3,13,7,0,0,2,8,9,14,7,7,6,6,0,11,6,12,0,0,0,0,8,19,4,12,11,7,5,4,6,11,8,12,7,8,10,10,0,0,0,0,20,5,5,3,9,3,7,9,7,7,2,6,8,15,9,6,5,12,9,9,6,4,10,6
1,233,184,135,81,86,93,103,52,80,37,43,60,63,55,66,32,50,37,42,30,29,32,29,40,18,37,38,31,40,43,16,31,25,28,26,21,11,18,10,18,21,23,15,29,19,32,25,16,30,34,15,0,24,10,9,23,0,32,16,25,19,14,17,18,11,16,10,9,12,5,21,9,18,9,15,21,9,21,18,8,14,21,9,9,16,15,10,23,21,16,15,18,19,12,16,24,0,4,18,11,17,16,10,0,0,18,15,8,11,7,12,8,10,0,0,12,10,25,14,17,5,5,8,22,13,22,12,5,12,5,5,9,6,4,7,6,8,8,11,13,9,2,6,1,5,5,9,5,7,11,6,4,4,12,14,6,11,9,7,8,8,19,9,13,7,4,11,6,11,8,10,7,16,9,7,4,4,9,15,9,3,6,13,8,3,13,7,15,9,8,4,10,9,0,0,7,7,9,8,3,7,5,6,0,5,11,13,0,0,0,0,2,18,6,15,6,11,7,7,7,3,12,11,10,9,10,8,0,0,0,0,15,1,9,4,11,5,6,7,6,6,8,8,12,16,12,8,9,18,9,8,12,3,12,6
2,266,176,138,108,112,105,93,64,67,78,52,52,57,46,57,30,49,49,38,26,29,34,34,41,27,48,38,54,47,56,15,30,16,35,18,20,5,32,13,24,12,27,10,22,13,21,31,17,32,19,17,0,31,16,14,13,0,29,18,23,15,9,23,13,14,23,18,8,14,11,9,7,12,9,13,9,15,15,14,9,11,17,8,4,16,18,11,11,15,13,15,17,14,9,21,13,0,6,11,12,18,15,7,0,0,20,9,12,13,12,17,8,11,0,0,10,16,10,20,9,3,0,11,11,12,22,16,2,7,1,7,9,3,8,11,11,3,10,10,8,7,3,8,3,3,4,6,6,2,5,8,8,6,12,19,10,7,11,6,2,8,19,9,8,10,3,5,5,9,10,6,11,24,10,16,5,5,6,8,10,5,5,12,5,7,9,5,6,14,5,6,12,10,0,0,5,10,10,13,5,6,4,6,0,9,14,8,0,0,0,0,2,9,13,11,8,6,6,3,11,11,16,10,11,10,7,7,0,0,0,0,5,3,11,2,8,4,7,10,4,13,9,6,9,10,7,8,7,10,9,6,8,6,5,9
3,210,149,138,93,99,121,114,68,65,54,63,52,62,55,59,37,58,47,32,14,39,22,26,53,23,40,34,43,40,39,22,25,28,39,27,25,18,20,17,15,10,22,10,26,21,30,32,22,40,29,19,0,21,22,15,9,0,26,18,18,20,20,22,13,17,24,10,14,17,13,24,12,7,6,14,15,10,16,16,15,11,25,16,17,20,17,11,12,23,15,10,17,19,16,12,10,0,7,12,8,16,8,10,0,0,18,18,11,15,13,18,11,10,0,0,12,4,12,13,14,3,2,14,9,10,12,19,7,8,7,4,11,1,4,10,16,9,16,7,13,4,6,8,5,6,7,4,6,8,5,5,8,3,7,15,5,5,7,2,4,1,8,10,6,13,4,6,4,9,10,10,10,17,9,5,8,8,12,10,11,6,2,13,6,3,20,7,17,12,7,7,6,17,0,0,5,5,11,10,4,6,2,10,0,11,2,9,0,0,0,0,8,20,9,13,7,11,3,6,9,11,6,14,12,16,8,19,0,0,0,0,8,2,5,1,7,5,6,7,10,11,12,1,11,10,8,13,6,14,18,4,10,6,9,13
4,262,164,146,75,77,105,111,51,73,47,59,63,58,51,56,29,42,48,33,32,32,32,27,41,25,34,42,38,31,53,19,26,23,26,23,22,14,13,15,22,12,23,11,13,27,21,23,28,26,24,22,0,26,20,18,13,0,17,15,26,18,15,23,13,19,18,15,19,12,3,17,21,20,6,13,11,17,20,15,12,14,12,16,8,14,12,12,17,17,16,15,17,19,12,19,7,0,4,14,11,21,14,14,0,0,28,20,15,16,9,7,11,9,0,0,9,4,20,12,16,5,8,10,14,9,21,13,5,7,9,9,13,8,9,5,12,10,13,7,13,10,7,5,12,9,2,5,9,5,6,5,6,3,10,9,5,15,8,5,7,10,9,12,5,8,3,12,5,10,6,15,15,8,8,11,6,6,9,8,6,4,4,17,1,3,16,3,13,9,8,6,7,21,0,0,8,12,6,6,6,6,7,13,0,16,9,3,0,0,0,0,5,9,5,10,10,5,8,6,15,8,7,19,12,10,6,7,0,0,0,0,11,5,7,2,5,3,8,10,5,12,5,10,12,16,10,10,6,12,16,6,8,6,8,8
5,243,165,136,95,94,100,108,66,51,51,56,46,62,49,64,28,52,34,35,33,20,35,35,40,21,26,42,50,41,43,23,31,24,38,16,23,12,20,22,26,17,28,14,21,15,30,22,20,32,33,20,0,24,14,23,22,0,24,15,23,27,15,20,14,15,25,16,14,14,10,9,9,12,9,22,9,15,24,21,17,16,16,9,6,16,11,8,16,31,11,8,16,24,13,12,10,0,3,11,8,14,13,12,0,0,18,14,11,13,13,10,13,10,0,0,13,5,20,13,15,3,6,9,11,17,21,9,5,7,4,3,7,3,9,9,7,7,6,6,9,11,4,7,4,10,4,4,3,4,6,15,10,7,11,12,10,8,6,2,4,10,13,16,9,9,2,9,4,8,8,7,7,15,4,5,4,5,11,7,2,2,2,12,4,4,14,3,8,11,9,4,7,14,0,0,8,16,8,6,7,8,3,6,0,9,7,9,0,0,0,0,3,13,9,9,9,5,7,9,3,18,11,12,7,8,9,11,0,0,0,0,13,2,8,2,7,4,3,7,8,8,11,2,7,10,12,10,11,9,16,10,11,5,9,7
6,273,160,124,83,107,113,113,73,57,78,50,56,48,60,55,31,44,49,39,29,30,39,34,37,25,33,34,40,34,51,22,26,24,32,19,18,13,30,21,24,20,21,12,27,12,33,34,29,14,31,27,0,19,20,27,16,0,30,20,27,17,19,19,27,17,14,11,8,9,10,10,15,6,12,12,11,15,15,18,10,12,7,10,6,19,6,6,14,22,13,17,12,20,9,15,20,0,6,8,12,21,17,13,0,0,15,26,12,14,8,11,16,10,0,0,10,4,9,7,17,4,4,10,12,13,15,14,6,13,4,3,15,1,8,6,10,6,6,15,13,9,5,8,9,10,3,5,9,4,5,15,11,5,3,8,9,6,7,2,4,9,23,14,10,7,2,10,5,14,7,12,7,23,5,8,4,6,11,6,8,4,5,1,1,5,12,4,7,12,14,8,8,12,0,0,9,7,10,13,10,9,3,5,0,17,4,14,0,0,0,0,9,14,10,11,9,11,4,4,8,10,7,9,7,15,5,6,0,0,0,0,10,3,6,0,2,4,3,4,6,11,5,7,6,22,11,11,10,16,11,6,8,6,11,6
7,261,141,162,81,95,77,116,65,55,59,70,55,52,49,53,42,54,46,31,27,25,35,28,50,16,32,31,39,43,46,15,30,19,28,22,18,9,20,19,29,20,28,14,21,25,23,32,23,37,35,18,0,34,26,15,19,0,31,15,22,15,19,18,15,16,12,12,8,8,9,10,10,15,9,13,9,18,23,14,15,8,7,12,12,12,15,11,21,16,10,16,15,15,14,14,9,0,8,9,12,26,10,9,0,0,21,14,11,13,7,9,5,10,0,0,10,5,12,17,14,4,5,12,11,10,15,21,1,11,8,6,17,0,7,5,15,9,4,10,12,6,5,4,5,7,10,12,11,8,8,10,5,4,6,15,5,11,10,4,5,8,16,10,6,7,4,14,8,11,10,9,8,15,5,5,10,9,15,8,9,4,6,12,5,2,15,4,13,7,9,10,6,15,0,0,10,10,8,14,8,6,4,7,0,16,12,8,0,0,0,0,3,14,13,12,7,15,5,3,10,15,5,14,6,10,6,12,0,0,0,0,8,2,5,3,7,5,6,11,4,9,8,7,7,13,12,7,9,14,11,9,11,4,14,13
8,248,166,148,89,102,100,109,72,59,47,60,50,76,48,49,36,52,48,42,31,31,36,34,56,28,40,40,44,53,38,25,34,25,31,23,21,11,17,20,28,15,23,16,25,24,20,22,19,31,21,17,0,27,21,15,23,0,28,19,30,19,15,19,20,20,24,10,15,11,9,15,8,14,6,11,17,22,23,10,14,10,9,8,9,11,9,14,17,24,20,17,17,23,16,17,18,0,6,6,10,13,10,8,0,0,18,12,14,12,13,16,7,7,0,0,13,11,20,16,19,4,2,13,11,10,17,18,7,4,8,4,8,4,10,9,6,8,6,7,9,6,8,0,6,6,2,4,8,10,10,11,11,3,10,13,5,4,17,3,4,5,9,16,9,6,0,10,6,15,9,10,6,14,5,5,5,6,14,12,7,4,5,11,5,3,19,4,8,7,9,3,8,3,0,0,6,9,14,11,9,15,3,16,0,11,10,11,0,0,0,0,9,13,7,17,8,15,6,6,6,8,12,11,7,9,9,17,0,0,0,0,12,3,7,7,5,2,7,3,6,6,8,4,4,15,14,8,3,16,10,5,8,4,11,12
9,272,165,150,81,106,84,123,70,67,65,57,57,53,46,59,29,57,33,40,26,40,31,31,41,23,39,38,36,50,48,25,22,14,31,15,29,15,19,19,21,28,24,13,21,15,23,26,17,40,25,17,0,32,13,27,21,0,25,19,25,26,15,15,11,23,19,17,10,9,10,14,15,12,8,17,8,8,24,20,16,13,12,12,13,10,14,8,18,15,12,13,13,29,16,18,19,0,9,17,11,16,8,10,0,0,19,11,15,10,7,21,20,8,0,0,8,8,16,13,14,3,10,8,19,15,11,18,6,7,3,1,12,6,8,9,11,5,8,8,10,9,9,6,9,5,3,9,5,1,7,7,4,3,6,11,14,5,7,5,8,10,20,6,11,11,3,11,2,18,7,5,7,15,7,7,5,13,5,11,7,6,4,14,10,4,10,3,17,12,7,6,9,7,0,0,6,12,4,12,1,4,6,8,0,13,5,12,0,0,0,0,7,15,16,10,10,12,11,3,7,9,12,9,5,9,7,15,0,0,0,0,13,7,9,6,11,3,4,4,5,9,5,9,5,11,15,7,7,15,11,7,8,6,8,10
