,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254
0,230,175,149,84,114,90,100,59,62,52,62,58,69,48,59,31,51,40,44,28,35,32,29,37,36,30,28,33,51,49,18,26,23,35,19,22,11,21,18,19,16,23,18,24,26,30,29,23,31,29,32,0,20,17,18,17,0,23,21,25,25,19,24,14,16,19,13,7,11,11,21,13,19,7,13,8,11,15,19,13,11,11,15,12,16,13,10,13,27,13,18,24,21,14,10,12,0,6,11,4,25,16,11,0,0,12,17,15,12,12,20,8,17,0,0,9,3,23,13,22,4,9,7,22,14,9,18,5,11,6,5,15,8,8,6,11,6,15,4,6,8,3,15,7,10,4,5,9,2,2,11,7,4,11,14,9,11,14,4,8,13,12,10,12,8,7,9,5,14,12,12,6,22,9,8,6,10,12,16,7,7,2,12,8,2,13,5,9,8,12,4,7,9,0,0,9,5,10,13,5,6,3,11,9,0,7,19,0,0,0,0,7,15,11,14,9,8,7,5,7,20,11,14,7,3,13,11,0,0,0,0,11,1,3,2,7,6,7,7,8,10,15,7,8,8,15,10,7,16,13,7,9,2,12,7
1,226,157,144,92,112,94,99,57,68,53,60,66,66,51,51,22,54,43,33,28,37,33,28,44,24,39,36,32,35,53,22,32,17,38,20,20,22,15,12,26,20,20,17,22,19,32,21,24,38,32,22,0,29,11,17,15,0,23,25,20,20,14,13,17,15,19,14,8,8,9,19,14,12,6,10,14,12,20,11,9,9,13,9,11,17,16,5,18,26,13,21,15,20,10,18,13,0,4,5,10,23,8,13,0,0,17,18,12,17,10,11,10,9,0,0,11,3,10,12,22,4,6,10,16,13,16,11,3,11,1,5,11,2,5,7,9,13,10,7,8,5,7,7,4,5,6,3,11,3,5,7,10,5,8,12,13,9,5,4,4,13,13,12,7,9,5,4,6,12,5,3,12,20,10,4,5,7,14,15,7,4,3,10,2,5,13,5,12,8,10,6,4,9,0,0,13,11,7,10,5,7,4,12,6,0,8,8,0,0,0,0,7,15,6,12,9,7,9,3,12,7,8,15,7,14,11,13,0,0,0,0,6,0,3,1,5,6,6,8,10,6,8,3,13,16,17,7,3,14,13,8,5,4,11,9
2,242,185,132,89,100,108,104,58,64,57,69,56,62,53,52,30,55,46,33,25,34,22,31,50,20,45,36,30,33,53,16,21,20,30,20,25,9,17,9,34,10,15,17,19,27,24,23,21,29,34,17,0,29,18,24,19,0,23,19,20,16,18,19,14,18,22,11,13,20,12,13,7,12,7,20,13,12,16,7,11,15,16,11,12,23,13,13,13,15,15,19,13,22,10,12,15,0,4,13,12,17,11,15,0,0,14,18,13,16,10,12,12,6,0,0,9,14,13,15,24,5,5,13,19,11,16,15,5,7,4,2,6,3,10,8,6,4,7,10,8,3,9,7,3,10,7,4,5,9,6,9,8,6,13,9,11,7,9,7,4,6,21,11,4,7,5,7,10,12,11,8,9,17,5,6,6,7,13,8,6,6,6,16,5,7,22,5,14,9,10,7,10,10,0,0,5,7,12,10,12,7,3,18,10,0,10,5,0,0,0,0,9,15,7,12,8,6,5,2,7,12,11,16,8,8,9,7,0,0,0,0,12,4,6,2,3,2,5,10,7,7,14,7,6,11,7,6,6,14,17,3,7,3,9,11
3,213,145,166,79,105,101,114,71,64,59,69,65,59,50,61,31,54,52,26,30,35,26,31,45,18,50,35,40,44,54,24,35,18,29,18,24,10,12,17,9,18,26,12,16,21,25,15,19,36,34,14,0,28,21,18,15,0,26,20,22,30,20,15,10,23,20,7,12,11,9,19,12,7,6,14,7,13,16,8,14,14,9,8,14,15,6,4,14,31,12,11,13,20,13,14,8,0,9,12,6,25,14,5,0,0,20,21,11,15,9,15,10,11,0,0,10,5,12,12,12,3,3,4,9,12,16,14,3,3,6,8,8,3,10,4,10,6,9,7,11,9,11,12,10,14,8,7,12,10,5,9,8,5,5,11,6,8,10,5,9,10,17,9,2,6,5,10,8,12,13,10,4,25,10,3,7,10,13,6,6,8,10,13,7,5,13,6,8,9,8,6,9,16,0,0,7,11,8,12,13,6,3,9,9,0,8,10,0,0,0,0,4,10,5,10,4,15,4,4,10,14,9,13,6,6,9,7,0,0,0,0,5,5,8,2,6,7,5,8,5,11,5,6,3,16,7,8,9,9,18,10,12,4,10,8
4,277,171,125,98,103,92,100,55,68,57,57,50,66,64,47,36,57,34,42,39,27,32,33,51,28,36,41,41,48,44,18,28,29,37,13,18,12,20,19,14,17,26,18,18,31,29,18,23,26,28,22,0,22,15,16,14,0,36,18,28,13,22,17,19,19,15,9,9,13,11,12,8,15,7,11,11,22,17,13,13,18,12,5,11,22,19,15,15,26,17,15,23,23,9,16,17,0,9,13,17,26,8,7,0,0,18,12,9,14,7,15,17,10,0,0,16,6,14,14,14,4,6,6,13,15,19,19,5,8,6,5,11,6,6,5,11,6,6,8,4,7,3,6,7,5,2,4,9,7,4,18,3,4,8,11,8,13,10,4,7,10,15,15,7,10,1,9,8,14,14,10,10,21,11,6,10,4,11,11,6,4,4,15,3,2,24,7,16,8,13,7,5,14,0,0,12,9,12,12,4,10,4,11,9,0,6,8,0,0,0,0,2,16,11,9,8,13,8,8,13,7,5,11,5,7,7,11,0,0,0,0,9,8,3,3,9,3,10,9,5,13,12,5,7,22,10,9,4,18,13,13,15,7,5,11
5,265,175,123,113,108,104,103,58,54,57,51,68,68,54,57,39,59,52,48,27,27,37,26,51,24,29,35,43,40,47,18,31,17,21,24,23,16,18,14,22,12,23,15,19,20,25,17,17,33,25,14,0,26,13,19,22,0,24,19,32,12,21,23,11,20,15,4,9,13,12,14,14,12,9,16,16,20,13,12,12,10,12,12,11,14,13,9,20,30,12,15,16,17,21,8,22,0,11,12,10,17,12,10,0,0,18,18,19,14,9,17,16,8,0,0,14,4,12,14,15,9,6,5,13,15,14,14,7,7,9,3,9,1,11,8,11,6,8,8,7,7,4,11,5,6,4,5,6,5,5,14,3,7,10,16,11,6,13,1,9,11,16,6,5,7,3,6,6,9,5,13,11,30,8,7,7,2,5,10,6,5,7,16,2,4,19,0,12,7,9,6,9,10,0,0,11,10,10,8,12,6,4,18,14,0,10,8,0,0,0,0,6,16,8,13,8,7,8,10,5,7,10,17,9,9,11,15,0,0,0,0,10,7,8,3,6,4,4,5,3,14,12,11,9,16,10,6,9,14,14,7,6,8,14,11
6,254,157,153,89,101,91,99,57,69,47,71,62,63,51,60,31,50,43,40,25,33,32,27,47,26,40,40,32,47,48,15,19,27,30,19,17,15,18,17,9,18,24,11,27,16,26,24,35,35,37,22,0,28,19,19,18,0,36,19,29,24,20,15,13,12,23,23,10,10,7,18,17,16,10,23,9,16,20,15,7,9,14,10,12,15,17,9,22,17,18,17,15,17,10,11,12,0,7,18,14,16,9,18,0,0,6,20,13,16,5,12,9,8,0,0,10,7,24,16,11,3,3,6,13,12,14,11,7,10,2,7,16,8,8,8,9,4,5,11,10,8,8,14,4,6,8,5,7,3,7,11,7,2,11,5,5,9,10,4,4,7,18,12,5,8,1,4,8,22,3,4,13,15,3,5,13,15,14,11,8,2,7,13,6,6,16,5,11,9,11,10,12,10,0,0,5,4,10,9,7,4,2,8,7,0,10,15,0,0,0,0,8,15,5,9,10,11,9,2,3,12,9,14,4,10,3,8,0,0,0,0,5,2,6,1,14,9,9,12,8,7,6,4,9,7,8,7,5,13,16,10,8,2,10,12
7,223,175,158,102,107,108,125,74,66,48,67,62,65,61,49,25,50,44,30,29,22,34,43,32,23,41,41,33,35,42,19,26,8,34,17,19,13,27,19,31,15,14,21,22,24,27,19,23,30,24,18,0,29,17,17,20,0,26,18,18,18,14,14,16,20,23,8,9,11,8,14,16,13,12,14,13,12,20,17,6,13,11,19,13,16,12,7,13,31,21,14,20,23,15,15,13,0,4,17,8,18,9,13,0,0,15,22,13,22,12,14,11,14,0,0,11,12,16,13,17,6,10,10,10,6,24,14,4,5,3,2,20,6,9,8,12,6,12,6,12,6,11,9,7,5,3,12,10,3,9,8,8,4,8,17,6,10,6,0,4,5,14,13,8,9,2,8,6,13,10,5,12,24,12,8,5,7,11,4,7,7,4,12,5,6,15,6,6,9,7,7,10,17,0,0,10,10,6,16,2,7,3,6,4,0,11,12,0,0,0,0,5,19,7,7,10,5,7,3,8,11,7,6,6,6,8,11,0,0,0,0,8,5,7,3,7,5,3,3,2,10,10,9,11,12,13,9,6,21,18,8,5,1,10,10
8,270,179,141,88,117,103,109,52,50,61,65,54,68,39,46,22,48,56,43,29,33,38,35,33,24,32,45,40,36,33,15,24,28,28,21,18,14,22,14,21,15,29,21,26,25,24,24,28,30,38,22,0,19,19,20,17,0,32,30,20,15,16,13,20,14,16,14,10,10,9,12,7,14,9,13,12,14,22,16,8,16,13,13,7,14,12,5,12,23,17,10,20,18,12,20,10,0,7,17,12,16,10,10,0,0,15,15,14,12,9,18,9,10,0,0,9,9,17,18,16,4,9,8,10,12,18,21,8,8,6,3,10,2,7,7,10,9,7,13,4,7,9,8,4,6,8,9,11,2,6,12,9,5,8,12,12,16,7,2,5,11,19,15,5,9,4,6,3,14,7,8,9,19,7,6,3,6,11,14,9,6,1,5,4,6,15,4,3,6,9,2,4,8,0,0,9,10,10,9,8,8,6,9,11,0,10,13,0,0,0,0,8,11,7,13,3,8,8,6,3,4,10,15,9,6,10,7,0,0,0,0,8,3,4,7,7,7,4,6,4,13,7,6,8,12,13,10,5,9,8,8,9,2,9,6
9,240,175,170,90,108,92,108,47,61,41,55,62,65,54,64,33,61,52,35,24,32,26,36,42,25,34,40,32,31,53,26,29,26,27,21,25,9,10,14,25,8,27,15,27,24,12,27,28,25,29,20,0,18,18,18,20,0,28,27,25,17,21,28,15,17,18,16,7,7,9,13,15,11,8,19,10,19,27,17,15,24,14,9,16,14,12,8,17,25,16,19,13,14,9,15,10,0,3,8,11,18,6,14,0,0,16,15,17,11,7,9,10,13,0,0,8,11,16,14,14,10,5,14,21,9,19,9,6,16,3,3,16,6,9,5,7,6,10,8,9,5,7,7,3,8,8,6,8,2,3,8,6,4,6,18,5,12,9,6,6,7,21,19,5,11,4,8,2,7,8,6,7,15,9,6,4,4,17,12,4,5,6,10,7,4,14,6,10,7,9,7,7,9,0,0,5,11,8,6,4,13,4,10,3,0,8,10,0,0,0,0,6,9,3,16,9,9,6,5,4,17,13,9,6,13,9,16,0,0,0,0,10,7,5,4,15,3,3,9,7,5,3,6,10,11,19,10,3,16,17,8,4,6,13,10
