,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,231,106,133,37,0,65,41,29,0,0,0,18,25,23,0,0,7,0,0,0,0,0,0,5,0,7,6,5,7,0,0
1,223,108,133,50,0,48,53,23,0,0,0,10,13,26,0,0,14,0,0,0,0,0,0,6,0,10,3,8,7,0,0
2,249,119,119,50,0,38,45,27,0,0,0,13,27,23,0,0,9,0,0,0,0,0,0,9,0,7,3,6,2,0,0
3,264,105,103,52,0,58,42,28,0,0,0,11,14,30,0,0,10,0,0,0,0,0,0,2,0,5,4,3,3,0,0
4,225,118,122,49,0,52,48,16,0,0,0,18,13,19,0,0,9,0,0,0,0,0,0,7,0,8,2,4,3,0,0
5,233,81,112,42,0,49,46,23,0,0,0,25,26,19,0,0,9,0,0,0,0,0,0,9,0,7,1,12,6,0,0
6,251,108,112,33,0,59,42,23,0,0,0,19,22,30,0,0,9,0,0,0,0,0,0,13,0,6,2,10,6,0,0
7,243,98,111,49,0,66,38,25,0,0,0,12,17,32,0,0,9,0,0,0,0,0,0,8,0,7,3,6,7,0,0
8,205,118,105,28,0,51,46,22,0,0,0,15,25,33,0,0,12,0,0,0,0,0,0,8,0,12,2,7,4,0,0
9,271,105,114,51,0,46,38,22,0,0,0,14,21,25,0,0,9,0,0,0,0,0,0,6,0,9,3,3,6,0,0
10,242,115,125,51,0,44,39,24,0,0,0,17,21,31,0,0,8,0,0,0,0,0,0,6,0,6,4,11,4,0,0
11,258,127,134,45,0,54,40,24,0,0,0,15,22,28,0,0,9,0,0,0,0,0,0,5,0,4,3,10,7,0,0
12,202,99,117,39,0,66,45,26,0,0,0,20,22,21,0,0,10,0,0,0,0,0,0,9,0,6,2,8,6,0,0
13,243,113,121,42,0,51,38,21,0,0,0,18,31,22,0,0,8,0,0,0,0,0,0,3,0,8,5,6,6,0,0
14,232,108,120,48,0,48,37,26,0,0,0,14,22,26,0,0,7,0,0,0,0,0,0,12,0,10,3,11,8,0,0
15,234,133,126,48,0,53,35,29,0,0,0,14,27,23,0,0,12,0,0,0,0,0,0,7,0,6,5,7,4,0,0
16,243,100,115,41,0,48,44,24,0,0,0,12,16,27,0,0,11,0,0,0,0,0,0,5,0,5,1,10,4,0,0
17,250,134,123,46,0,37,43,24,0,0,0,14,24,19,0,0,7,0,0,0,0,0,0,6,0,7,1,11,7,0,0
18,241,117,119,45,0,54,35,30,0,0,0,14,22,27,0,0,15,0,0,0,0,0,0,8,0,1,1,9,6,0,0
19,262,94,115,40,0,58,35,19,0,0,0,16,19,19,0,0,13,0,0,0,0,0,0,8,0,9,6,12,3,0,0
20,217,120,122,34,0,50,51,27,0,0,0,18,15,18,0,0,10,0,0,0,0,0,0,10,0,11,0,10,4,0,0
21,243,91,125,44,0,54,42,23,0,0,0,18,21,21,0,0,8,0,0,0,0,0,0,8,0,9,3,4,3,0,0
22,212,105,117,38,0,40,54,14,0,0,0,10,17,31,0,0,9,0,0,0,0,0,0,5,0,5,6,9,4,0,0
23,211,124,101,45,0,46,46,27,0,0,0,21,16,28,0,0,10,0,0,0,0,0,0,3,0,4,1,6,4,0,0
24,241,112,120,38,0,46,44,27,0,0,0,12,15,25,0,0,16,0,0,0,0,0,0,11,0,3,2,4,4,0,0
25,245,96,121,42,0,41,52,22,0,0,0,17,17,19,0,0,11,0,0,0,0,0,0,8,0,8,4,2,2,0,0
26,221,111,113,37,0,58,56,23,0,0,0,12,17,32,0,0,7,0,0,0,0,0,0,7,0,10,4,6,5,0,0
27,255,119,132,54,0,62,45,20,0,0,0,20,31,27,0,0,7,0,0,0,0,0,0,3,0,10,4,8,4,0,0
28,229,92,112,47,0,57,45,13,0,0,0,15,25,31,0,0,19,0,0,0,0,0,0,2,0,9,5,13,5,0,0
29,246,122,112,46,0,55,43,31,0,0,0,13,18,27,0,0,4,0,0,0,0,0,0,9,0,6,2,11,3,0,0
30,249,106,127,48,0,57,23,18,0,0,0,13,16,25,0,0,9,0,0,0,0,0,0,11,0,5,5,5,1,0,0
31,241,109,118,43,0,45,54,20,0,0,0,18,16,31,0,0,11,0,0,0,0,0,0,8,0,9,3,10,5,0,0
32,255,121,125,50,0,50,51,18,0,0,0,12,10,26,0,0,9,0,0,0,0,0,0,6,0,5,2,4,3,0,0
33,227,115,107,46,0,54,44,23,0,0,0,16,19,26,0,0,7,0,0,0,0,0,0,8,0,6,4,6,11,0,0
34,225,96,116,52,0,50,41,14,0,0,0,19,13,31,0,0,14,0,0,0,0,0,0,6,0,6,4,3,4,0,0
35,237,107,128,38,0,59,42,18,0,0,0,26,24,33,0,0,14,0,0,0,0,0,0,8,0,8,3,6,9,0,0
36,235,127,124,52,0,39,43,24,0,0,0,20,19,18,0,0,4,0,0,0,0,0,0,9,0,14,1,7,6,0,0
37,232,83,127,53,0,47,45,17,0,0,0,7,15,19,0,0,7,0,0,0,0,0,0,5,0,6,4,11,5,0,0
38,248,103,106,40,0,48,48,29,0,0,0,15,32,28,0,0,7,0,0,0,0,0,0,2,0,10,2,8,4,0,0
39,250,112,119,37,0,43,61,26,0,0,0,9,14,19,0,0,13,0,0,0,0,0,0,5,0,15,1,5,3,0,0
40,251,116,111,41,0,51,43,22,0,0,0,12,10,26,0,0,4,0,0,0,0,0,0,8,0,7,7,6,10,0,0
41,261,113,118,53,0,48,42,43,0,0,0,14,13,18,0,0,11,0,0,0,0,0,0,10,0,7,4,14,3,0,0
42,226,114,121,45,0,52,50,24,0,0,0,18,22,27,0,0,13,0,0,0,0,0,0,1,0,9,6,5,6,0,0
43,227,114,134,40,0,40,45,25,0,0,0,12,17,23,0,0,14,0,0,0,0,0,0,12,0,5,2,8,7,0,0
44,220,111,129,50,0,44,42,25,0,0,0,13,22,29,0,0,10,0,0,0,0,0,0,11,0,8,0,8,6,0,0
